t u f_threshhold r_threshhold refrac_timer/refrac_t
1.055 7.86041 15 40 1
1.06 7.8718 15 40 1
1.065 7.88309 15 40 1
1.07 7.89425 15 40 1
1.075 7.90531 15 40 1
1.08 7.91626 15 40 1
1.085 7.9271 15 40 1
1.09 7.93783 15 40 1
1.095 7.94845 15 40 1
1.1 7.95896 15 40 1
1.105 7.96937 15 40 1
1.11 7.97968 15 40 1
1.115 7.98988 15 40 1
1.12 7.99998 15 40 1
1.125 8.00998 15 40 1
1.13 8.01988 15 40 1
1.135 8.02968 15 40 1
1.14 8.03939 15 40 1
1.145 8.04899 15 40 1
1.15 8.0585 15 40 1
1.155 8.06792 15 40 1
1.16 8.07724 15 40 1
1.165 8.08647 15 40 1
1.17 8.0956 15 40 1
1.175 8.10465 15 40 1
1.18 8.1136 15 40 1
1.185 8.12246 15 40 1
1.19 8.13124 15 40 1
1.195 8.13993 15 40 1
1.2 8.14853 15 40 1
1.205 8.15704 15 40 1
1.21 8.16547 15 40 1
1.215 8.17382 15 40 1
1.22 8.18208 15 40 1
1.225 8.19026 15 40 1
1.23 8.19836 15 40 1
1.235 8.20637 15 40 1
1.24 8.21431 15 40 1
1.245 8.22217 15 40 1
1.25 8.22994 15 40 1
1.255 8.23764 15 40 1
1.26 8.24527 15 40 1
1.265 8.25282 15 40 1
1.27 8.26029 15 40 1
1.275 8.26768 15 40 1
1.28 8.27501 15 40 1
1.285 8.28226 15 40 1
1.29 8.28944 15 40 1
1.295 8.29654 15 40 1
1.3 8.30358 15 40 1
1.305 8.31054 15 40 1
1.31 8.31743 15 40 1
1.315 8.32426 15 40 1
1.32 8.33102 15 40 1
1.325 8.33771 15 40 1
1.33 8.34433 15 40 1
1.335 8.35089 15 40 1
1.34 8.35738 15 40 1
1.345 8.3638 15 40 1
1.35 8.37017 15 40 1
1.355 8.37646 15 40 1
1.36 8.3827 15 40 1
1.365 8.38887 15 40 1
1.37 8.39498 15 40 1
1.375 8.40103 15 40 1
1.38 8.40702 15 40 1
1.385 8.41295 15 40 1
1.39 8.41882 15 40 1
1.395 8.42464 15 40 1
1.4 8.43039 15 40 1
1.405 8.43609 15 40 1
1.41 8.44172 15 40 1
1.415 8.44731 15 40 1
1.42 8.45283 15 40 1
1.425 8.45831 15 40 1
1.43 8.46372 15 40 1
1.435 8.46909 15 40 1
1.44 8.47439 15 40 1
1.445 8.47965 15 40 1
1.45 8.48485 15 40 1
1.455 8.49001 15 40 1
1.46 8.49511 15 40 1
1.465 8.50015 15 40 1
1.47 8.50515 15 40 1
1.475 8.5101 15 40 1
1.48 8.515 15 40 1
1.485 8.51985 15 40 1
1.49 8.52465 15 40 1
1.495 8.52941 15 40 1
1.5 8.53411 15 40 1
1.505 8.53877 15 40 1
1.51 8.54338 15 40 1
1.515 8.54795 15 40 1
1.52 8.55247 15 40 1
1.525 8.55694 15 40 1
1.53 8.56138 15 40 1
1.535 8.56576 15 40 1
1.54 8.5701 15 40 1
1.545 8.5744 15 40 1
1.55 8.57866 15 40 1
1.555 8.58287 15 40 1
1.56 8.58704 15 40 1
1.565 8.59117 15 40 1
1.57 8.59526 15 40 1
1.575 8.59931 15 40 1
1.58 8.60332 15 40 1
1.585 8.60728 15 40 1
1.59 8.61121 15 40 1
1.595 8.6151 15 40 1
1.6 8.61895 15 40 1
1.605 8.62276 15 40 1
1.61 8.62653 15 40 1
1.615 8.63026 15 40 1
1.62 8.63396 15 40 1
1.625 8.63762 15 40 1
1.63 8.64125 15 40 1
1.635 8.64483 15 40 1
1.64 8.64838 15 40 1
1.645 8.6519 15 40 1
1.65 8.65538 15 40 1
1.655 8.65883 15 40 1
1.66 8.66224 15 40 1
1.665 8.66562 15 40 1
1.67 8.66896 15 40 1
1.675 8.67227 15 40 1
1.68 8.67555 15 40 1
1.685 8.67879 15 40 1
1.69 8.68201 15 40 1
1.695 8.68519 15 40 1
1.7 8.68833 15 40 1
1.705 8.69145 15 40 1
1.71 8.69454 15 40 1
1.715 8.69759 15 40 1
1.72 8.70061 15 40 1
1.725 8.70361 15 40 1
1.73 8.70657 15 40 1
1.735 8.70951 15 40 1
1.74 8.71241 15 40 1
1.745 8.71529 15 40 1
1.75 8.71813 15 40 1
1.755 8.72095 15 40 1
1.76 8.72374 15 40 1
1.765 8.72651 15 40 1
1.77 8.72924 15 40 1
1.775 8.73195 15 40 1
1.78 8.73463 15 40 1
1.785 8.73728 15 40 1
1.79 8.73991 15 40 1
1.795 8.74251 15 40 1
1.8 8.74509 15 40 1
1.805 8.74764 15 40 1
1.81 8.75016 15 40 1
1.815 8.75266 15 40 1
1.82 8.75513 15 40 1
1.825 8.75758 15 40 1
1.83 8.76 15 40 1
1.835 8.7624 15 40 1
1.84 8.76478 15 40 1
1.845 8.76713 15 40 1
1.85 8.76946 15 40 1
1.855 8.77177 15 40 1
1.86 8.77405 15 40 1
1.865 8.77631 15 40 1
1.87 8.77854 15 40 1
1.875 8.78076 15 40 1
1.88 8.78295 15 40 1
1.885 8.78512 15 40 1
1.89 8.78727 15 40 1
1.895 8.7894 15 40 1
1.9 8.7915 15 40 1
1.905 8.79359 15 40 1
1.91 8.79565 15 40 1
1.915 8.7977 15 40 1
1.92 8.79972 15 40 1
1.925 8.80172 15 40 1
1.93 8.80371 15 40 1
1.935 8.80567 15 40 1
1.94 8.80761 15 40 1
1.945 8.80954 15 40 1
1.95 8.81144 15 40 1
1.955 8.81333 15 40 1
1.96 8.81519 15 40 1
1.965 8.81704 15 40 1
1.97 8.81887 15 40 1
1.975 8.82068 15 40 1
1.98 8.82247 15 40 1
1.985 8.82425 15 40 1
1.99 8.82601 15 40 1
